name,type,ProductServices
Cooper-Chandler,Company,Unknown
Cooper-Dean,Company,Unknown
Cooper-Ford,Company,Durable goods
Cooper-Howard,FishingCompany,"Aquaculture, processing and preserving of seafood"
Cooper-Johnson,Company,Flat and long steel products
Cooper-Jones,Company,Unknown
Cooper-Mckenzie,Company,Unknown
Cooper-Morgan,Company,Unknown
Cooper-Patel,Company,"Durable goods, specializing in rubber products"
Cooper-Price,Company,Vehicular lighting equipment
Cooper-Turner,Company,Unknown
"Copeland, Jones and Salazar",Company,Unknown
"Copeland, Lyons and Jackson",Company,"Paper, balloons, table covers, hair accessories, and fashion jewelry, Fashion Accessories  Table Covers [source: freelance researcher]"
Copeland-Richmond,Company,Unknown
Copeland-Washington,Company,Unknown
"Cordova, Johnson and Ramos",Company,"Squid, Cutlefish, Octopus, Mix products, Shrimp, Fish, and Clam"
"Cordova, Ritter and Flores",FishingCompany,Seafood products (breaded and battered fish sticks and portions)
"Cordova, Russell and Richards",Company,Unknown
Cordova-Lopez,Company,Unknown
Cortez and Sons,Company,Unknown
Cortez Inc,Company,Unknown
Cortez LLC,Company,Finish carpentry work
"Cortez, Phelps and Taylor",Company,Unknown
Cortez-Ellis,LogisticsCompany,Freight and courier services (shipping consolidation and LCL (less than container load) for forwarders; international transport services such as shipping consolidation and deconsolidation; storage and distribution; re-expeditions and transhipment; and customs proceedings)
Costa de la Felicidad AS,Company,Unknown
Costa de Oro Enterprises,FishingCompany,Fishing and other related activities
Costa de Oro Inc,Company,Unknown
Costa de Oro S.p.A.,Company,"Smoked salmon, smoked salmon spreads, pickled and marinated herring, shrimp cocktail, groundfish, caviar, lobster, crab, and halibut"
Costa-Brown,Company,Unknown
Costa-Johnston,Company,Unknown
Costa-Lopez,Company,Unknown
Cowan Inc,Company,Foods and drinks products
"Cowan, Gonzalez and Ward",Company,Unknown
Cowan-Terry,Company,Fish and other sea food products; Tuna; salmon; herring; shellfish; and groundfish products; flounder fillets; cornmeal pollock strips; burger; and tuna steak; frozen halibut steaks and fancy king crabs; canned sockeye salmon and frozen sockeye; halibut; cod; pollock; rockfish and Pacific ocean perch; and flounder and sole
Cox and Sons,Company,Unknown
Cox Group,Company,"Setting up, organizing and executing the supply needed to ship fresh fruits and vegetables"
Cox Inc,Company,Unknown
Cox PLC,Company,Unknown
"Cox, Carter and Duffy",Company,Unknown
"Cox, Dominguez and Hart",Company,Unknown
"Cox, Jimenez and Rodgers",Company,Unknown
"Cox, Tanner and Cardenas",Company,Powersports vehicles and propulsion systems
Cox-Donovan,FishingCompany,Marine fishing
Cox-George,Company,Technical testing and analysis
Cox-Goodwin,FishingCompany,"Include preparing fresh and raw or cooked frozen fish and other seafoods and seafood preparations, such as soups, stews, chowders, fishcakes, crabcakes, and shrimp cakes"
Cox-Kramer,Company,Smoked fish products and other related products
Cox-Mason,FishingCompany,Seafood for the international and domestic markets
Cox-Moore,Company,Unknown
Cox-Moran,Company,Unknown
Cox-Osborne,FishingCompany,Fish and seafood
Cox-Rodriguez,Company,Unknown
Craig and Sons,Company,Paper industries machinery
Craig Group,Company,Unknown
Craig Ltd,FishingCompany,Seafood
Craig PLC,FishingCompany,Fish and seafood
"Craig, Martinez and Ford",Company,Unknown
"Craig, Nguyen and Ellis",Company,Unknown
"Craig, Schneider and Mcintyre",Company,Unknown
Craig-Garza,Company,Unknown
Craig-Lopez,Company,Unknown
Craig-Miller,Company,Fish or fish products
Craig-Ryan,Company,Unknown
Craig-Wade,Company,Unknown
Crane LLC,Company,"Natural, processed and imitation cheeses"
"Crane, Espinoza and Byrd",LogisticsCompany,Transport and logistics services
"Crane, Freeman and Hall",Company,Unknown
"Crane, Williams and Mitchell",Company,Unknown
Crane-Clark,Company,"Specializes in buying, rebuilding and selling of pre-owned machinery for the carton converting industry, especially diecutting machines; Covers extensive stocks, trained engineers, general expertise in the field of carton box making, quality rebuilding in own workshop, transportation facilities, installation on request included in the price, and purchase of surplus machines"
Crane-Rojas,Company,Unknown
Crane-Young,FishingCompany,Fish and seafood products
Crawford and Sons,Company,Unknown
Crawford Group,Company,Unknown
Crawford Ltd,Company,Unknown
Crawford PLC,Company,Unknown
"Crawford, Ballard and Brown",Company,"Management, selling, and buying of real estate properties"
"Crawford, Butler and Andersen",Company,Unknown
"Crawford, Gray and Morales",Company,Stationery and office supplies
"Crawford, Hicks and Acevedo",Company,Healthcare products
"Crawford, Rodgers and Daniels",Company,Nondurable goods
Crawford-Adams,Company,Unknown
Crawford-Boyd,FinancialCompany,Commercial banking services
Crawford-Gregory,Company,Unknown
Crawford-Harris,Company,"Drinkware, office supplies, calculators, digital and analog clocks, pedometers and timers, healthcare and safety products, electronic gadgets, bags, travel and outdoor accessories, keychains, photo frames, tools, flashlights and lanterns, as well as writing instruments and telephone cards"
Crawford-Jones,Company,Unknown
Crawford-Moss,Company,"Canned, frozen, and preserved fruits, vegetables, and food specialties; Fruit and vegetable jams, jellies, sweetened specialties, pickled fruits and vegetables, and related processed items"
Crawford-Rice,Company,"Corrugated paper and paperboard and of containers of paper and paperboard (paperboard boxes, metal-edged newsboard boxes, and paperboard filing boxes, folding paperboard boxes, folding cartons, frozen food containers, folding sanitary food pails, and paperboard backs for blister packages)"
Crawford-Russo,Company,Sandals; canvas; ballerina and fashion sandals; slippers; fashion shoes; casual shoes; other shoes
Crosby Ltd,Company,Unknown
"Crosby, Nichols and Lopez",Company,Agricultural products
Crosby-Ross,Company,Unknown
Cross Group,Company,"Aquatic products (frozen squid products, frozen squid products, frozen conch kebabs, frozen octopus products, and frozen squid)"
Cross LLC,Company,Unknown
"Cross, Aguilar and Torres",FinancialCompany,Management activities of a holding company
"Cross, Gomez and Davis",Company,Unknown
Cross-Patton,Company,Gelatine and gelatine products
Cross-Wade,Company,Unknown
Cruz Group,Company,High-vacuum deposition equipment for various applications
Cruz Inc,Company,Unknown
Cruz LLC,Company,Unknown
Cruz Ltd,FishingCompany,Seafood products
Cruz PLC,Company,Iron casting
"Cruz, Crane and Wright",Company,Unknown
"Cruz, Grant and Acosta",Company,Unknown
"Cruz, Jackson and Kane",Company,"Specialized in manufacturing in grain mill products, animal feedstuffs, as well as shortening and margarine from purchased fats and oils, such as grain and oilseed. It also refines and blends vegetable, and tree nut oils from purchased oils and blending purchased animal fats with purchased vegetable fats"
"Cruz, Morris and Bell",Company,Dairy and ethnic food products
Cruz-Chang,Company,Unknown
Cruz-Collins,Company,"Operates retail clothing stores, including approximately 400 outlets, and 6 exclusive boutiques; and approximately 350 men's fashion stores and 750 outlets in departmental stores and multi-brand outlets"
Cruz-Gentry,LogisticsCompany,Logistics and trade compliance services
Cruz-Green,Company,"Silk, textile, silk fabric, silk handicrafts, garments, and other related products"
Cruz-Moran,Company,Commercial sports and other related activities
Cuevas and Sons,Company,Unknown
Cuevas PLC,FishingCompany,"Seafood products (salmon, black cod, cod, and halibut)"
"Cuevas, Leonard and Webb",Company,Paper and paperboard
"Cuevas, Williams and Hernandez",Company,Unknown
Cuevas-Anderson,Company,"Thermoplastic and metal fabricated enclosures, advanced copper termination and connection products, fiber optic, Rainwater Harvesting [source: freelance researcher]"
Cuevas-Holt,Company,Unknown
Cummings and Sons,Company,Unknown
Cummings Inc,Company,"European manufactured ambient packaged bread, morning goods and cakes"
Cummings Ltd,Company,"Bakery and sweets, botanical seeds, canned vegetables and goods, cook books, dairy products, dried fruits and nuts, drinks and beverages, grains, jams and honey, rice, seasonings, spices and herbs, teas and coffee, and other related products"
Cummings PLC,Company,Unknown
"Cummings, Brown and Gregory",LogisticsCompany,"Consolidation or forwarding of freight; Distribution management, vendor consolidation, cargo insurance, purchase order management, customized logistics information services, and cargo insurance"
"Cummings, Gray and Bond",Company,Unknown
"Cummings, Petersen and Jackson",Company,Manufacture of soft gelatin capsules as well in the provision of encapsulation services
Cummings-Wang,Company,Unknown
Cunningham and Sons,Company,"Gelatine for use in confectionery, dairy, desserts, meats, fish, and pharmaceuticals"
Cunningham PLC,Company,Unknown
"Cunningham, Bryan and Thomas",Company,Unknown
"Cunningham, Elliott and Tyler",Company,Unknown
"Cunningham, Howard and Hudson",Company,Unknown
Cunningham-Baker,Company,Unknown
Cunningham-Jones,Company,Unknown
Cunningham-Martin,Company,"Truck, bus, cabs and automobile bodies"
Cunningham-Phillips,Company,"Hardware (locks), minerals, industrial machineries, light industrial products (auto parts, motor parts, glasses, lighters), chemicals, medical products, clothes, shoes, caps, suitcases and bags, and stationery"
Curry LLC,Company,Unknown
"Curry, Estrada and Anderson",Company,Unknown
"Curry, Schmidt and Wilson",Company,Unknown
Curtis Ltd,Company,Grocery products
"Curtis, Giles and Jones",LogisticsCompany,"Transportation insurance, government export reporting, e-commerce, administration, warehousing, and distribution services, as well as provides air and ocean freight, documentation, and project management services"
"Curtis, Turner and Taylor",Company,Unknown
Curtis-Harrison,Company,Unknown
Curtis-Henderson,Company,Unknown
Curtis-Hodges,Company,Unknown
Curtis-Lowe,Company,Unknown
Curtis-Silva,Company,"Bread, fresh pastry goods, cakes, pies, biscuits, and cookies"
Dalton Inc,Company,"Jams, marmalade, cookies, muffins, yoghurt, ice cream, cakes, and other preserved foods; Fruit juices, including orange juice, apple juice, grape juice; and alcoholic beverages such as wine or brandy"
Dalton LLC,Company,Unknown
Dalton Ltd,Company,"Chopsticks of corn, tortilla chips, yuca chips, banana chips, gomitas, caramels, mint pies, and biscuits"
"Dalton, James and Aguilar",Company,"Closeout Garments, public relations, marketing and advertising, owners, trade groups, professional associations, chambers of commerce and other business advertising and marketing groups, advocate for small and medium size businesses and business [source: freelance researcher]"
"Dalton, Sims and Holt",Company,"Retail and bulk, pickled and dry salted products derived from eight species of fish; Boned and semi-boneless, bits and minced, bloater and fillet salt fish"
Dalton-Williams,Company,Unknown
Daniel Inc,Company,Unknown
"Daniel, Hughes and Payne",Company,Unknown
"Daniel, Richardson and Wang",Company,Unknown
Daniel-Barber,Company,Unknown
Daniel-Campbell,Company,"Chemical products, die casting lubricants, release agents, ceramic/graphite auxiliaries for foundry and mechanical components for high pressure die casting"
Daniel-Morrow,Company,Unknown
Daniels and Sons,Company,Unknown
Daniels LLC,Company,Unknown
Daniels Ltd,Company,Coffee
"Daniels, Bush and Hill",FishingCompany,Fish and seafoods products
"Daniels, Green and Carrillo",Company,Unknown
"Daniels, Jones and Kaiser",Company,Softgel encapsulation machines; tumble dryer; jet-master (basket washing system); one pot system (gelatin melting system); ultra fill mixer; color mixer; colloid mill; UHT (ultra high temperature) sterilizer; sorting machine
"Daniels, Velasquez and Mclaughlin",LogisticsCompany,"Ships Agent, Stowage - Unloading and Industrial Distribution, Multimodal transport operator, Forwarding International, IMO Merchandise, Road Transport - Railways, Turnkey Projects, Special Transport, Logistics - Storage and national distribution"
"Daniels, Ward and Reynolds",Company,Unknown
Daniels-Sloan,Company,Unknown
Daniels-Thomas,Company,Unknown
Daugherty Ltd,Company,Unknown
Daugherty-Holland,Company,Unknown
Davenport Group,Company,Unknown
Davenport PLC,Company,Unknown
"Davenport, Roberts and Woods",LogisticsCompany,"Retail distribution of furniture and other products, including bedsprings, mattresses, and other related household furniture; office furniture; and furniture for public parks and buildings; Partitions, shelving, lockers, and store fixtures, as well as other related activities"
"Davenport, Warren and Randall",Company,Softgel
Davenport-Martinez,Company,"Engine, turbine, and power transmission equipment"
Davenport-Rivera,Company,Unknown
David PLC,Company,Unknown
"David, Harrell and Brooks",Company,Dental materials and equipment
Davidson and Sons,Company,Collection and treatment of waste materials
Davidson Inc,Company,Unknown
"Davidson, Allison and Clark",Company,"Clams, crabs, lobsters, mussels, oysters, sea urchins, and shrimp"
"Davidson, Harrington and Jones",LogisticsCompany,"Specialises in the distribution of a wide range of chemicals that are manufactured using basic processes, such as thermal cracking and distillation"
"Davidson, Jones and Atkins",Company,"Specialises in wholesaling a wide range of fruits, vegetables, blends, skillet meals, and steamable meals"
"Davidson, Lara and Massey",Company,Unknown
Davidson-Clark,Company,"Wooden products, furniture, decorative panels, metal parts, and speaker cabinets"
Davidson-Holden,Company,Unknown
Davidson-Nicholson,Company,Unknown
Davidson-Riley,Company,"Specialises in performing activities that are ongoing routine business support functions that businesses and organisations traditionally do for themselves; Provides organisational change management assistance, development of coaching skills, technology implementation, strategy development, operational improvement services, and other necessary assistance and support; Proprietary methodologies and frameworks to guide the identification of problems, and to serve as the basis for recommendations for more effective and efficient ways of performing business tasks"
David-Watkins,Company,"Electric apparatus and equipment, specializing in uninterruptible power supply"
Davies and Sons,Company,Unknown
Davies LLC,Company,"Additives, ingredients and packaging material"
Davies PLC,Company,Unknown
"Davies, Archer and Owens",Company,Unknown
"Davies, Macdonald and Galvan",Company,Unknown
Davila Inc,Company,Unknown
Davis and Sons,Company,Unknown
Davis Group,Company,Unknown
Davis Inc,Company,Special purpose machinery
Davis LLC,Company,Unknown
Davis Ltd,Company,"Teflon industrial coatings Applicator, Solid Film Lube / Dry Film Lube Applicator [source: freelance researcher]"
Davis PLC,FishingCompany,"Chilled and frozen seafood products for the catering, retail and industry sectors"
"Davis, Atkins and Sullivan",Company,Unknown
"Davis, Barker and Smith",Company,Unknown
"Davis, Barton and Patel",Company,Unknown
"Davis, Brooks and Brown",Company,"Eel and salmon specialties; salmon side, whole; salmon side, sliced; sliced; salmon fillet, sliced lengthways; salmon fillet, sliced; Scottish salmon fillet, sliced lengthways; Norwegian salmon fillet, sliced;  Norwegian salmon, portioned; salmon, portioned; Norwegian Gravad Lachs; salmon flakes; Norwegian salmon flakes; poached salmon (artificial gut); fillet Saumon (artificial gut); salmon cubes; salmon julienne; salmon frisettes; and salmon steaks. Its eel products include smoked eel, whole; eel fillet; eel fillet and eel party packs; and eel specialty"
"Davis, Brown and Molina",Company,"A supplier of collagen proteins for the food, health and nutrition and pharmaceutical industries and for numerous technical applications"
"Davis, Harris and West",FishingCompany,Seafood products
"Davis, Harvey and Alvarado",Company,"Precious Metals, and Copper Magnesium Rod, continuous casting machines for Copper Wire and Cable, Alloy Wire, Engineering Alloys [source: freelance researcher]"
"Davis, Howe and Frye",Company,Unknown
"Davis, Knapp and Gray",FishingCompany,Fish and seafood products
"Davis, Le and Vargas",Company,"Cakes, candies, gums, jellies, lollipops, marshmallows, and wafers"
"Davis, Lindsey and West",Company,Unknown
"Davis, Lucas and Ellison",Company,Unknown
"Davis, Maldonado and Howe",Company,Unknown
"Davis, Medina and Anderson",Company,Hard gelatin capsules
"Davis, Morales and Hester",Company,Unknown
"Davis, Obrien and Barker",Company,"Pat-ang-geum (processed red bean paste), Yo-kan (red bean sweet jelly), Pat-juk (red bean sweet porridge), Pat for Bing-su (processed red bean paste for shaved ice bowls), A-dzu-ki (red bean with rice flour)"
"Davis, Owens and Day",Company,Specializes in providing trucking and courier services
"Davis, Powell and Eaton",Company,Clothing and footwear products
"Davis, Rodriguez and Spencer",Company,Unknown
"Davis, Rogers and Williams",Company,Unknown
"Davis, Russell and Thomas",LogisticsCompany,Transportation and logistics services
"Davis, Shepard and Lopez",Company,"Flame retardants, water and oil repellents, soil and stain release chemicals, UV absorbers, moisture management finishes, coatings and several other value added innovative products"
"Davis, Stewart and Johnson",LogisticsCompany,"Provides storage, stevedoring, transport, distribution, re-packing, re-processing, and barcode scanning services"
"Davis, Vasquez and Hoover",Company,Unknown
"Davis, Walker and Wagner",Company,"Bathroom equipment, such as shower trays, screens and enclosures, columns, baths, hydromassage baths, shower units, shower cubicles, countertops and bathroom accessories; Material in extensive range of formats and finishes"
"Davis, Weber and Le",Company,Unknown
"Davis, Williams and Young",Company,Unknown
"Davis, Young and Diaz",Company,Concrete products
Davis-Alvarado,Company,All types of frozen and canned seafood and metal packaging for both domestic and export markets
Davis-Andersen,Company,Unknown
Davis-Barron,Company,Unknown
Davis-Bauer,Company,Unknown
Davis-Boyd,FishingCompany,"Fish, shrimp, oysters, clams, crabs, and other seafood"
Davis-Cabrera,LogisticsCompany,Event logistics services
Davis-Calderon,Company,"Anti-foam compounds and emulsions, silicone emulsions and greases, silicone fluids, and other miscellaneous products"
Davis-Chen,Company,Chemicals and allied products
Davis-Cobb,Company,Unknown
Davis-Cruz,FishingCompany,Preparation and packaging seafoods (Gathering and canning seafood; smoking; salting; and drying seafood; eviscerating fresh fish by removing heads; fins; scales; bones; and entrails; shucking and packing fresh shellfish; processing marine fats and oils and freezing seafood)
Davis-Diaz,Company,Adhesives and sealants and other chemistry-based solutions
Davis-Fernandez,Company,Construction machinery and equipment
Davis-Frey,Company,Adhesive tape
Davis-Galvan,Company,Unknown
Davis-Green,Company,Unknown
Davis-Gutierrez,Company,Mixing purchased dried and dehydrated ingredients including purchased dried and dehydrated ingredients for soup mixes and bouillon
Davis-Harris,Company,Processed shrimps
Davis-Johnson,Company,"Motor vehicle air conditioners, air conditioning and heating combination units, beer dispensing equipment, refrigerated cabinets, electric warm air furnaces, evaporative condensers, electric heat pumps, ice making machinery, refrigerated lockers, refrigeration compressors, refrigeration machinery and equipment, room coolers, and snow making machinery"
Davis-May,FishingCompany,Production and export of packaged surimi-based seafood
Davis-Mclaughlin,Company,Aviation ground support equipment
Davis-Miller,Company,Unknown
Davis-Munoz,Company,Toys and hobby goods and supplies
Davis-Peck,LogisticsCompany,Maritime and air imports; maritime and air exports; customs services and logistics coordination
Davis-Ponce,Company,Canned and cured fish and seafoods
Davis-Ramsey,Company,Unknown
Davis-Rosales,Company,Unknown
Davis-Rose,Company,Boilers and industrial equipment
Davis-Sanchez,Company,Food products
Davis-Stewart,Company,Unknown
Davis-Townsend,Company,Unknown
Davis-Wagner,Company,Unknown
Davis-Walker,Company,A grocery store
Davis-Walsh,FishingCompany,Fishing and other related activities
Davis-White,Company,Unknown
Davis-Williams,Company,Unknown
Davis-Wong,Company,Unknown
Davis-Wood,Company,Cosmetic products
Davis-Yu,Company,Unknown
"Dawson, Cruz and Mccarthy",Company,Unknown
"Dawson, Edwards and Castaneda",Company,Frozed food products
"Dawson, Lane and Byrd",Company,Unknown
"Dawson, Lyons and Perez",FishingCompany,Seafood
"Dawson, Miles and Little",Company,Trade agents and brokers
"Dawson, Smith and Miller",Company,Unknown
"Dawson, Snow and Malone",Company,"Fresh and frozen lamb, and related protein products (mixed cut packs, short cut and boneless legs, short loin saddles, rack chine offs, mild and hot lamb sausages, shoulders, chilled atmosphere packaging technology carcasses, whole carcasses, lamb shanks, ground lambs, shepherd's pies, lamb burgers, seasoned medallions, and diced products; and venison, such as Denver legs, boneless short loins, French racks, tenderloins, strip loins, and saddles)"
"Dawson, Thomas and Mccormick",Company,"Handling a wide variety of commodities, generally palletized, and transported in a container or van trailer"
Dawson-Anderson,LogisticsCompany,Freight forwarding and other related services
Dawson-Larsen,Company,Unknown
Dawson-Mcbride,Company,Unknown
Dawson-Morgan,Company,Unknown
Dawson-Pierce,Company,Unknown
Dawson-Rush,Company,Unknown
Dawson-Warner,Company,Unknown
Day and Sons,Company,Unknown
Day Inc,Company,Unknown
Day LLC,Company,Unknown
"Day, Brown and Webb",Company,Organic chemical materials
"Day, Campbell and Taylor",Company,"Emergency medical training, educational and therapy products"
"Day, Dennis and Williamson",Company,"Pulses, other special crops and canola products"
"Day, Harding and Valencia",FishingCompany,Marine fishing
"Day, Khan and Aguilar",Company,"Customs broker specializing in importing, exporting, trucking, consulting and warehousing"
"Day, Morales and Mcdonald",Company,Unknown
"Day, Parsons and Mendez",Company,Unknown
"Day, Weaver and Evans",Company,"Providing fresh fish, fish meal, fish sauce, GIJS, and Bio; Fresh, pre-packed fish products; Arranges for customer-specific labels on third-party products"
"Day, Wong and Dixon",Company,Integrated pest management products for professional and consumer use
Day-Gonzalez,Company,Unknown
Dean LLC,Company,Specializes in the production of wines and brandies from grapes and other fruits grown elsewhere
Dean Ltd,Company,"Iron and steel products, mineral and metal resources, infrastructure projects, integrated transportation systems, chemicals, energy, food resources, food products and services, consumer services, innovation and corporate development business"
Dean PLC,Company,Unknown
"Dean, Harris and Chung",Company,Unknown
Dean-Bell,Company,Unknown
Dean-Ford,FishingCompany,Seafood and other aquatic products
Dean-Wood,Company,Unknown
Decker and Sons,Company,Anti-vibration and hose products
Decker Inc,Company,"Sport and inflatable goods (inflatable airbeds and other beach items), and other styles of indoor and outdoor recreational products"
Decker LLC,Company,Unknown
Decker PLC,FishingCompany,Fishing activities
"Decker, Brown and Watts",Company,Unknown
Delacruz-Murray,Company,Drugs and other related health and personal care products
Deleon Inc,Company,Dairy products
Deleon Ltd,Company,Marine products
"Deleon, Nicholson and Smith",Company,Unknown
Deleon-Carter,Company,Unknown
Deleon-Parsons,Company,Unknown
Deleon-Stuart,FishingCompany,Seafood products
Delgado Group,Company,Unknown
Delgado Inc,Company,Aluminum and zinc die castings
Delgado PLC,Company,Unknown
"Delgado, Brown and Conrad",Company,Unknown
"Delgado, Ward and Kennedy",Company,"A range of functional ingredients for the food industry, in particular the meat sector"
Delgado-Farley,Company,Unknown
Delgado-Sullivan,Company,Unknown
Dennis Inc,Company,Unknown
"Dennis, Henderson and Anderson",FishingCompany,"Involved in the following activities: canning seafood (including soup); smoking, salting, and drying seafoods; eviscerating fresh fish by removing heads, fins, scales, bones, and entrails; shucking and packing fresh shellfish; processing marine fats and oils; and freezing seafood"
Dennis-Butler,Company,Unknown
Dennis-Cook,LogisticsCompany,Freight forwarding services
Dennis-Vargas,Company,Unknown
Dennis-Wilson,LogisticsCompany,Freight trucking and other related transportation services
Diaz and Sons,Company,Unknown
Diaz Inc,Company,"Custom frozen sandwiches (custom prepared omelets, French toast and strata specialties, breakfast and lunch / dinner sandwich selections, buy-on-board sandwich selections, sandwich snack boxes, shelf stable snack boxes, frozen sandwiches and burgers, kitting of multi-component meals, breakfast entrees and sandwiches); airline food packaging (CPET entree casseroles, custom heat-sealed entree casserole sealing, pop-out entree casseroles, bulk pack product, individually wrapped snack boxes and snack box sleeves, hand wrapped sandwiches, flow wrapped sandwiches and custom sandwich labeling); and vending sandwiches (breakfast sandwiches, grilled sandwiches, croissant sandwiches, burgers and chicken sandwiches)"
Diaz Ltd,Company,"Cured products, hams, shoulders and sausages; Iberian pork products"
"Diaz, Aguirre and Pierce",LogisticsCompany,"Storage, transformation, distribution and commercialisation of railway materials, rails and railway accessories"
"Diaz, Fry and Reynolds",Company,Unknown
"Diaz, Ingram and Miller",Company,Unknown
Diaz-Diaz,Company,Unknown
Diaz-Mccarthy,Company,Silicon metal 553/441/3303/2202/411/551 as well as silicon powder & silica fume
Diaz-Mcclain,Company,Unknown
Diaz-Reynolds,Company,Organic and conventional aquaculture products
Diaz-Riley,Company,Unknown
Diaz-Schaefer,Company,Unknown
Diaz-Smith,Company,Unknown
Diaz-Spencer,Company,Unknown
Dickson-Lopez,LogisticsCompany,Tailored logistics services and personalized customer service
Dickson-Patterson,Company,Unknown
Dillon PLC,Company,Unknown
Dillon-Bell,Company,Salmon products
Dillon-Lewis,Company,Cables and information technology smart cards
Dixon and Sons,Company,Range of steel windows and related products
Dixon Inc,Company,"Bioactive peptide, such as fish collagen peptide, ovalbumin peptide and soybean peptide"
Dixon LLC,Company,Biological and medical products; botanical drugs and herbs; and pharmaceutical products
Dixon Ltd,Company,Unknown
"Dixon, Harvey and Butler",Company,Unknown
"Dixon, Trevino and Romero",Company,Unknown
Dixon-Chapman,Company,Industrial machinery division offers machine tools; forming machinery; injection molding machinery; production machinery; bearings and hydraulic equipment; industrial robots; environmental equipment; water chillers and mold temperature controllers; purchase used presses; environment-related products; and food machinery; Construction machinery division provides information on used construction machinery and purchase used construction machinery
Dixon-Davis,Company,Grocery goods and related foodservice supplies
Dixon-Gutierrez,Company,"Fish, crabs, shrimp, food stuffs, dry goods, canned items, confectionery, beverages and drinks, tobacco and cigarette products, and meat products; Dairy and cheese, poultry products, and fresh fruits and vegetables"
Dixon-Hughes,Company,Unknown
Dixon-Norman,LogisticsCompany,Freight trucking and other related transportation services
"Dodson, Barton and Delgado",FishingCompany,"Tuna, sword fish, bass, trout, and salmon, as well as offers shellfish, mollusks, crustaceans, sea vegetables, shrimp, lobster, squid, oysters, crabs, and clams, and other related seafood products"
Dominguez Group,Company,Unknown
"Dominguez, Gonzalez and Davis",Company,"Range of sporting clothing and accessories for squash, women's lacrosse, men's lacrosse, hockey, field hockey, and other sports"
"Dominguez, Mitchell and Moore",Company,Unknown
"Dominguez, Robinson and Anderson",Company,"Partners , We serve both large and small wholesalers [source: freelance researcher]"
"Dominguez, Sosa and Bender",Company,Unknown
Dominguez-Donovan,Company,"Pangasius hypophthalmus fillet, skinless /skin on, boneless, belly-off/belly on, welltrimmed/untrimmed"
Dominguez-Maynard,Company,Unknown
Dominguez-Short,Company,Cleansing products
Donovan Group,Company,Computer software applications
Donovan-Huang,Company,"Outdoor LED-LCD televisions, all-weather digital signage displays, and touch screen monitors; and accessories, such as mounts, stands, dust covers"
Dorsey Inc,Company,Fresh and frozen bread and bread-type rolls and other fresh bakery products
Dorsey LLC,Company,"Pharma grade gelatin and di-calcium phosphate, and other pharma products"
Dorsey Ltd,FishingCompany,Fish and seafood products
"Dorsey, Hull and Perez",Company,Integrated powder processing systems and component machinery
Dorsey-Terry,Company,Unknown
Dougherty-Nguyen,Company,Unknown
Dougherty-Smith,Company,"Expendable slag-based abrasives, as well as high quality recyclable abrasives and specialty abrasives for a wide variety of applications"
Douglas Group,Company,Unknown
Douglas Inc,Company,Unknown
"Douglas, Gonzalez and Gomez",Company,Unknown
"Douglas, Hall and Pena",Company,Dual shaft rotary piston machines and rotary piston fans
"Douglas, Johnson and Gamble",Company,Unknown
"Douglas, Morris and Cole",Company,"Polyurethane cast elastomer systems; Toluene diisocyante (TDI) and methylene diphenyl diisocyanate (MDI) based prepolymers, as well as Low Unreacted TDI (LUT) prepolymers, Quasi MDI systems and ribbon coating formulations; Carousel and positioning robot"
"Douglas, Moss and Kerr",Company,"Wire to board crimp style, wire to board insulation displacement, board to board, card edge, ribbon cable, headers/jumpers/compression type, card, coaxial or optical fiber, interface connection, wire to wire, and automotive connectors, as well as chain terminals/splices, solderless terminals and splices, shunt wires, application tools/machines, connector kits, and protectors"
"Douglas, Sanchez and Stokes",FishingCompany,"Seafoods, foods, meats and meat products"
"Douglas, Smith and Jordan",Company,Unknown
Douglas-Diaz,Company,Unknown
Douglas-Erickson,Company,"Broadwoven fabrics and felts, carpet lining, cheesecloths, corduroys, curtains and draperies, fiberglass fabrics, hard fiber fabrics, and manmade and natural fiber fabrics"
Douglas-Hansen,FinancialCompany,Holding company
Douglas-Thomas,Company,"Hydraulic and thermal electric power, and distributes electric power to other electric companies through its electronic power lines and frequency transformer stations"
Downs Group,Company,Windpower equipment and machinery; Related services
"Downs, Fernandez and Stuart",FishingCompany,"Crabmeat, Crab, Seafood"
Downs-Townsend,Company,Aluminum castings
Doyle Inc,FishingCompany,Commercial marine fishing activities
Doyle LLC,Company,Grocery products
"Doyle, Clark and Gentry",Company,"Specialty enzymes for pharmaceutical, food processing, dietary supplement, healthcare, biotransformation, and diagnostic industries"
"Doyle, Jones and Fitzgerald",Company,"Involved in retailing fresh, frozen, or cured meats and poultry"
Doyle-Benton,Company,Fiber glass yarns and direct roving
